season,holiday,workingday,weather,temp,atemp,humidity,windspeed,year,month,weekday,hour,count
1,0,0,1,9.84,14.395,81,6.72384083333333,2011,1,5,0,16.0
1,0,0,1,9.02,13.635,80,6.699390299999996,2011,1,5,1,40.0
1,0,0,1,9.02,13.635,80,6.699390299999996,2011,1,5,2,32.0
1,0,0,1,9.84,14.395,75,6.525643666666663,2011,1,5,3,13.0
1,0,0,1,9.84,14.395,75,6.525643666666663,2011,1,5,4,1.0
1,0,0,2,9.84,12.88,75,6.0032,2011,1,5,5,1.0
1,0,0,1,9.02,13.635,80,6.699390299999996,2011,1,5,6,2.0
1,0,0,1,8.2,12.88,86,6.647639499999996,2011,1,5,7,3.0
1,0,0,1,9.84,14.395,75,6.525643666666663,2011,1,5,8,8.0
1,0,0,1,13.12,17.425,76,9.840036516666663,2011,1,5,9,14.0
1,0,0,1,15.58,19.695,76,16.9979,2011,1,5,10,36.0
1,0,0,1,14.76,16.665,81,19.0012,2011,1,5,11,56.0
1,0,0,1,17.22,21.21,77,19.0012,2011,1,5,12,84.0
1,0,0,2,18.86,22.725,72,19.9995,2011,1,5,13,94.0
1,0,0,2,18.86,22.725,72,19.0012,2011,1,5,14,106.0
1,0,0,2,18.04,21.97,77,19.9995,2011,1,5,15,110.0
1,0,0,2,17.22,21.21,82,19.9995,2011,1,5,16,93.0
1,0,0,2,18.04,21.97,82,19.0012,2011,1,5,17,67.0
1,0,0,3,17.22,21.21,88,16.9979,2011,1,5,18,35.0
1,0,0,3,17.22,21.21,88,16.9979,2011,1,5,19,37.0
1,0,0,2,16.4,20.455,87,16.9979,2011,1,5,20,36.0
1,0,0,2,16.4,20.455,87,12.998,2011,1,5,21,34.0
1,0,0,2,16.4,20.455,94,15.0013,2011,1,5,22,28.0
1,0,0,2,18.86,22.725,88,19.9995,2011,1,5,23,39.0
1,0,0,2,18.86,22.725,88,19.9995,2011,1,6,0,17.0
1,0,0,2,18.04,21.97,94,16.9979,2011,1,6,1,17.0
1,0,0,2,17.22,21.21,100,19.0012,2011,1,6,2,9.0
1,0,0,2,18.86,22.725,94,12.998,2011,1,6,3,6.0
1,0,0,2,18.86,22.725,94,12.998,2011,1,6,4,3.0
1,0,0,3,17.22,21.21,77,19.9995,2011,1,6,6,2.0
1,0,0,2,16.4,20.455,76,12.998,2011,1,6,7,1.0
1,0,0,3,16.4,20.455,71,15.0013,2011,1,6,8,8.0
1,0,0,2,15.58,19.695,76,15.0013,2011,1,6,9,20.0
1,0,0,2,14.76,17.425,81,15.0013,2011,1,6,10,53.0
1,0,0,2,14.76,16.665,71,16.9979,2011,1,6,11,70.0
1,0,0,2,14.76,16.665,66,19.9995,2011,1,6,12,93.0
1,0,0,2,14.76,17.425,66,8.9981,2011,1,6,13,75.0
1,0,0,3,14.76,17.425,76,12.998,2011,1,6,14,59.0
1,0,0,3,13.94,16.665,81,11.0014,2011,1,6,15,74.0
1,0,0,3,13.94,16.665,71,11.0014,2011,1,6,16,76.0
1,0,0,1,13.94,16.665,57,12.998,2011,1,6,17,65.0
1,0,0,2,14.76,16.665,46,22.0028,2011,1,6,18,53.0
1,0,0,1,13.12,14.395,42,30.0026,2011,1,6,19,30.0
1,0,0,1,12.3,13.635,39,23.9994,2011,1,6,20,22.0
1,0,0,1,10.66,11.365,44,22.0028,2011,1,6,21,31.0
1,0,0,1,9.84,10.605,44,19.9995,2011,1,6,22,9.0
1,0,0,1,9.02,11.365,47,11.0014,2011,1,6,23,8.0
1,0,1,1,9.02,9.85,44,23.9994,2011,1,0,0,5.0
1,0,1,1,8.2,8.335,44,27.9993,2011,1,0,1,2.0
1,0,1,1,6.56,6.82,47,26.0027,2011,1,0,4,1.0
1,0,1,1,6.56,6.82,47,19.0012,2011,1,0,5,3.0
1,0,1,1,5.74,5.305,50,26.0027,2011,1,0,6,30.0
1,0,1,1,5.74,6.82,50,12.998,2011,1,0,7,64.0
1,0,1,1,5.74,6.06,50,19.0012,2011,1,0,8,154.0
1,0,1,1,6.56,6.82,43,26.0027,2011,1,0,9,88.0
1,0,1,1,7.38,8.335,43,16.9979,2011,1,0,10,44.0
1,0,1,1,8.2,9.09,40,22.0028,2011,1,0,11,51.0
1,0,1,1,9.02,10.605,35,19.9995,2011,1,0,12,61.0
1,0,1,1,9.84,10.605,35,19.0012,2011,1,0,13,61.0
1,0,1,1,10.66,12.12,30,19.0012,2011,1,0,14,77.0
1,0,1,1,10.66,12.12,30,16.9979,2011,1,0,15,72.0
1,0,1,1,10.66,12.12,30,16.9979,2011,1,0,16,76.0
1,0,1,1,9.84,11.365,30,15.0013,2011,1,0,17,157.0
1,0,1,1,9.84,12.88,32,7.0015,2011,1,0,18,157.0
1,0,1,1,8.2,12.88,47,6.6995142499999965,2011,1,0,19,110.0
1,0,1,1,8.2,11.365,47,7.0015,2011,1,0,20,52.0
1,0,1,1,7.38,9.85,64,8.9981,2011,1,0,21,52.0
1,0,1,1,5.74,7.575,69,8.9981,2011,1,0,22,20.0
1,0,1,1,7.38,10.605,55,7.0015,2011,1,0,23,12.0
1,0,1,1,6.56,9.09,55,7.0015,2011,1,1,0,5.0
1,0,1,1,6.56,9.09,59,7.0015,2011,1,1,1,2.0
1,0,1,1,5.74,7.575,63,8.9981,2011,1,1,2,1.0
1,0,1,1,5.74,9.09,63,6.0032,2011,1,1,4,2.0
1,0,1,1,4.92,7.575,68,7.0015,2011,1,1,5,4.0
1,0,1,1,4.92,7.575,74,7.0015,2011,1,1,6,36.0
1,0,1,1,4.92,7.575,74,8.9981,2011,1,1,7,94.0
1,0,1,1,5.74,7.575,69,11.0014,2011,1,1,8,179.0
1,0,1,1,6.56,7.575,64,15.0013,2011,1,1,9,100.0
1,0,1,2,6.56,6.82,69,22.0028,2011,1,1,10,42.0
1,0,1,1,9.02,10.605,51,19.9995,2011,1,1,11,57.0
1,0,1,1,9.02,11.365,51,11.0014,2011,1,1,12,78.0
1,0,1,1,9.84,11.365,56,12.998,2011,1,1,13,97.0
1,0,1,1,10.66,12.88,52,15.0013,2011,1,1,14,63.0
1,0,1,1,11.48,13.635,52,16.9979,2011,1,1,15,65.0
1,0,1,1,12.3,14.395,49,16.9979,2011,1,1,16,83.0
1,0,1,1,11.48,13.635,48,15.0013,2011,1,1,17,212.0
1,0,1,1,10.66,12.88,48,12.998,2011,1,1,18,182.0
1,0,1,1,9.84,12.88,48,7.0015,2011,1,1,19,112.0
1,0,1,1,9.84,12.88,48,7.0015,2011,1,1,20,54.0
1,0,1,1,9.02,13.635,64,6.395998666666661,2011,1,1,21,48.0
1,0,1,1,9.02,12.88,64,6.0032,2011,1,1,22,35.0
1,0,1,1,8.2,11.365,69,6.0032,2011,1,1,23,11.0
1,0,1,1,8.2,12.88,64,6.1242557595238045,2011,1,2,0,6.0
1,0,1,1,6.56,9.85,74,6.0032,2011,1,2,1,6.0
1,0,1,1,6.56,9.85,74,6.0032,2011,1,2,2,2.0
1,0,1,1,9.84,11.365,48,15.0013,2011,1,2,4,2.0
1,0,1,1,9.02,11.365,47,11.0014,2011,1,2,5,3.0
1,0,1,1,8.2,9.85,47,15.0013,2011,1,2,6,33.0
1,0,1,1,7.38,9.09,43,12.998,2011,1,2,7,88.0
